"cluster","rank","gene","score","pval","pval_adj","logfc"
"3",1,"GZMK",4.30104270076187,1.01126876280307e-164,1.38685398130813e-160,4.30104270076187
"3",2,"GZMH",3.83585387798508,2.05140335347279e-88,2.81329455895258e-84,3.83585387798508
"3",3,"CD8A",3.39011058017123,7.39234043036778e-106,1.01378556662064e-101,3.39011058017123
"3",4,"CCL5",3.2834644690194,2.8571960946871e-196,3.91835872425389e-192,3.2834644690194
"3",5,"KLRG1",2.99169657784554,1.06671382857066e-103,1.46289134450181e-99,2.99169657784554
"3",6,"CST7",2.67980864351178,1.58417010454087e-172,2.17253088136735e-168,2.67980864351178
"3",7,"GZMA",2.6386094349114,6.22743708354951e-174,8.5403072163798e-170,2.6386094349114
"3",8,"NCR3",2.6368790712763,1.99592340390534e-29,2.73720935611578e-25,2.6368790712763
"3",9,"NKG7",2.48707011926518,4.58265880346264e-177,6.28465828306866e-173,2.48707011926518
"3",10,"CTSW",2.25849975473747,3.0113399528112e-106,4.12975161128528e-102,2.25849975473747
"3",11,"CD8B",2.22183353187099,4.33164584352909e-42,5.94041910981579e-38,2.22183353187099
"3",12,"LYAR",2.17876307515046,2.19999407258295e-80,3.01707187114026e-76,2.17876307515046
"3",13,"APOBEC3G",2.05059037233911,1.87545530318256e-24,2.57199940278457e-20,2.05059037233911
"3",14,"SAMD3",1.97360038263769,1.13410347290022e-34,1.55530950273537e-30,1.97360038263769
"3",15,"GZMM",1.92795351413041,3.21137028287565e-58,4.40407320593567e-54,1.92795351413041
"3",16,"ZAP70",1.91812570376847,1.26406507706162e-13,1.73353884668231e-09,1.91812570376847
"3",17,"HOPX",1.89128146143755,1.31989941515086e-40,1.81011005793789e-36,1.89128146143755
"3",18,"C12orf75",1.7394852699586,1.71162673620752e-23,2.347324906035e-19,1.7394852699586
"3",19,"CHST12",1.61536836792444,2.8420997701666e-18,3.89765562480647e-14,1.61536836792444
"3",20,"C9orf142",1.58527983124124,2.69351347515037e-07,0.00369388437982122,1.58527983124124
"3",21,"TPST2",1.5310863341299,1.57481151655734e-11,2.15969651380674e-07,1.5310863341299
"3",22,"TMEM50A",1.51755280886946,9.4299336240296e-05,1,1.51755280886946
"3",23,"DUSP2",1.51230930750972,1.23738574378546e-18,1.69695080902738e-14,1.51230930750972
"3",24,"APMAP",1.5005624963873,8.03451175752187e-18,1.10185294242655e-13,1.5005624963873
"3",25,"IL32",1.49970030020318,1.94906690125119e-75,2.67295034837589e-71,1.49970030020318
"3",26,"CCL4",1.41834840513925,1.41029201400171e-38,1.93407446800195e-34,1.41834840513925
"3",27,"FGFBP2",1.4023749116167,6.99103498037129e-30,9.58750537208118e-26,1.4023749116167
"3",28,"FYN",1.33555295657426,6.12008373346766e-12,8.39308283207755e-08,1.33555295657426
"3",29,"LITAF",1.32576521207319,2.86118679110594e-10,3.92383156532268e-06,1.32576521207319
"3",30,"PLEK",1.30937580697529,1.54543230531725e-09,2.11940586351208e-05,1.30937580697529
"3",31,"CD3D",1.29875709868895,9.1733646914449e-53,1.25803523378475e-48,1.29875709868895
"3",32,"SLC9A3R1",1.26088153895777,7.31688320987018e-11,1.0034373634016e-06,1.26088153895777
"3",33,"CD3G",1.25319058967671,8.90579348598082e-11,1.22134051866741e-06,1.25319058967671
"3",34,"HCST",1.22942928214265,3.13058888973423e-40,4.29328960338152e-36,1.22942928214265
"3",35,"CDC37",1.1860898561705,0.00330295627962282,1,1.1860898561705
"3",36,"PRF1",1.17995834109484,1.06846880429745e-60,1.46529811821352e-56,1.17995834109484
