index,palantir_pseudotime,palantir_entropy,cluster,fate_Ery,fate_Lymph,fate_DC,fate_Mono
Run4_122308384450908,0.5335954412429571,1.138292117706754,6,0.1466472485574605,0.04823796719413166,0.30876053570545287,0.49635424854295934
Run4_122308399066019,0.4339072720234951,1.230469175987154,4,0.22412963724989066,0.07196773988424045,0.25133688448616626,0.45256573837971026
Run4_122308412463406,0.6832503454880643,0.10765057452420108,5,0.0,0.9823681616192494,0.0,0.0
Run4_122308430620398,0.19038554916033604,1.3396276013478792,1,0.27848303935268515,0.1561791604529006,0.20671328941245798,0.35862451078196633
Run4_122310412323676,0.5611107739432745,1.0694954899213267,7,0.10750095847219313,0.03604521288839518,0.5117534412593362,0.3447003873800754
Run4_122310412626206,0.5377118852259546,1.1419015965744435,4,0.1626103669415011,0.05283950731286448,0.2635796629784572,0.5209704627671826
Run4_122310424910766,0.3809136174242449,1.2400645688856011,1,0.23338745939658284,0.07526234222067707,0.24692895494770137,0.44442124343504663
Run4_122310444373789,0.012401102875651262,1.3141532620076082,0,0.30139341904854755,0.12300570053083326,0.20876680089562674,0.3668340795250028
Run4_122428778498790,0.6656238407568712,0.7284916990121342,6,0.06761840149453308,0.02225628925380492,0.13152017594494292,0.7786051333067242
Run4_122428793175326,0.5458651760010259,0.8984272643628286,2,0.698962582098298,0.03862294853129207,0.09426173273016614,0.16815273664026803
Run4_122428793187699,0.3795629197378623,1.2464547638207966,4,0.23977545183463336,0.07760751883448858,0.24401856606812317,0.43859846326276286
Run4_122428823883116,0.3063549251214917,1.2619873710351128,1,0.2545656624858975,0.0844484618238672,0.2369253053125021,0.4240605703777419
Run4_122428824140061,0.07152870654184473,1.3128557586037783,0,0.30210319324703266,0.12160340973986923,0.2089523204837761,0.36734107652933323
Run4_122428824599908,0.7879604914130527,0.6523990491021932,7,0.04452500024687446,0.015265780049712619,0.8022648971762991,0.1379443225271077
Run4_122436428412653,0.05852834834802265,1.3165354493458716,0,0.29979545231911897,0.12563388522497385,0.20851403072765676,0.3660566317282607
Run4_122436428609325,0.4808036257486326,0.9497051900633042,2,0.669317433956343,0.04252225139856478,0.10351825009783061,0.1846420645472859
Run4_122436443094253,0.06386304475475654,1.313155716976948,0,0.3019885655111932,0.12192604915725366,0.20889236187360463,0.3671930234579596
Run4_122436443330286,0.7782594697531753,0.3000456567030474,3,0.020023362490973695,0.0,0.03859071248288062,0.934794416685166
Run4_122436456212725,0.37418776330112175,1.24401993293841,1,0.23721415456179554,0.07671828250766335,0.24517752194591005,0.44089004098463885
Run4_122436474493213,0.7786794396839127,0.30233112374157634,3,0.020220409346321105,0.0,0.03897037887927176,0.9341528373832925
Run4_122436475018661,0.2984776806836941,1.2654608006313428,1,0.257994560064698,0.08616772359154978,0.23522416617143893,0.42061355017232244
