"cell","samples","orig.ident","lineage","ExclusionScore"
"cy58_1_CD45_pos_H11_S671_comb","Mel58","cy58","Myeloid",-0.19430154260186
"CY89COREQ1_E11_S347_comb","Mel89","CY89COREQ1","B_cell",-0.203773616288466
"cy84_Primary_CD45_pos_A04_S388_comb","Mel84","cy84","B_cell",-0.144599668287958
"cy53_1_CD45_neg_G10_S370_comb","Mel53","cy53","CAF",-0.16125563787556
"cy60_1_cd_45_pos_3_D05_S329_comb","Mel60","cy60","B_cell",-0.116012779543526
"CY89COREQ1_C02_S314_comb","Mel89","CY89COREQ1","B_cell",-0.285032596462851
"cy80_Cd45_pos_PD1_pos_C12_S72_comb","Mel80","cy80","B_cell",-0.281912035528712
"cy94_cd45pos_4_C06_S30_comb","Mel94","cy94","B_cell",-0.315113586235993
"cy80_CD45_neg_H05_S953_comb","Mel80","cy80","Endothelial",-0.23682276182765
"cy60_1_cd_45_pos_3_E08_S344_comb","Mel60","cy60","B_cell",-0.200965557546001
"cy94_cd45neg_cd90pos_F01_S349_comb","Mel94","cy94","CAF",-0.0763823900046576
"Cy72_CD45_G03_S747_comb","Mel72","Cy72","B_cell",-0.0592579482892393
"CY89A_CD45_POS_6_B07_S115_comb","Mel89","CY89A","B_cell",-0.249219383608507
"cy84_Primary_CD45_pos_A12_S396_comb","Mel84","cy84","B_cell",-0.213121655418308
"CY94CD45POS_1_G02_S170_comb","Mel94","CY94CD45POS","B_cell",-0.286400709157618
"cy78_CD45_neg_3_B03_S687_comb","Mel78","cy78","Malignant",0.844954509954355
"CY89A_CD45_POS_6_C11_S131_comb","Mel89","CY89A","B_cell",-0.208043127824181
"cy80_CD45_pos_PD1_pos_E01_S145_comb","Mel80","cy80","B_cell",-0.163766402751739
"CY89FNA_G05_S269_comb","Mel89","CY89FNA","B_cell",-0.206585094923099
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A12_S972_comb","Mel60","cy60","B_cell",-0.175636300584825
"cy82_CD45_pos_2_D09_S525_comb","Mel82","cy82","Myeloid",-0.191948558879988
"CY89FNA_E07_S247_comb","Mel89","CY89FNA","B_cell",-0.204797095397481
"CY89FNA_B07_S211_comb","Mel89","CY89FNA","T_cell",-0.228420312539176
"cy53_1_CD45_pos_1_H12_S96_comb","Mel53","cy53","Myeloid",-0.293115889074765
"CY89FNA_G03_S267_comb","Mel89","CY89FNA","B_cell",-0.253239958939662
"cy94_cd45pos_H09_S189_comb","Mel94","cy94","B_cell",-0.227651814404055
"cy82_CD45_pos_1_C12_S516_comb","Mel82","cy82","CAF",-0.122779806107831
"CY88CD45_150813_C02_S314_comb","Mel88","CY88CD45","Myeloid",-0.000180983190161549
